iter	Passed	Remaining
1458	3388	95
1459	3390	92
1460	3393	90
1461	3395	88
1462	3397	85
1463	3400	83
1464	3402	81
1465	3404	78
1466	3407	76
1467	3409	74
1468	3411	71
1469	3414	69
1470	3416	67
1471	3418	65
1472	3420	62
1473	3423	60
1474	3425	58
1475	3427	55
1476	3429	53
1477	3432	51
1478	3434	48
1479	3436	46
1480	3438	44
1481	3441	41
1482	3443	39
1483	3445	37
1484	3447	34
1485	3450	32
1486	3452	30
1487	3454	27
1488	3457	25
1489	3459	23
1490	3461	20
1491	3464	18
1492	3466	16
1493	3468	13
1494	3471	11
1495	3473	9
1496	3475	6
1497	3477	4
1498	3480	2
1499	3482	0
